,p_rec,test_n,density,p_inf,p_test,Run,Fraction Dead,Fraction Infected,Fraction Quarantined,Fraction Recovered,hood,p_reinf,p_death
158,0.0,0.6,0.0,0.8,True,158,0.0,0.0,0.0,0.0,Moore,0.01,0.02
159,0.0,0.6,0.0,0.8,False,159,0.0,0.0,0.0,0.0,Moore,0.01,0.02
160,0.0,0.6,0.2,0.0,True,160,0.0,0.0,0.0,0.0,Moore,0.01,0.02
161,0.0,0.6,0.2,0.0,False,161,0.0,0.0,0.0,0.0,Moore,0.01,0.02
162,0.0,0.6,0.2,0.2,True,162,0.0,0.0,0.0,0.0,Moore,0.01,0.02
163,0.0,0.6,0.2,0.2,False,163,0.0,0.0,0.0,0.0,Moore,0.01,0.02
164,0.0,0.6,0.2,0.4,True,164,0.0,0.0,0.0,0.0,Moore,0.01,0.02
165,0.0,0.6,0.2,0.4,False,165,0.0,0.0,0.0,0.0,Moore,0.01,0.02
166,0.0,0.6,0.2,0.6,True,166,0.0,0.0,0.0,0.0,Moore,0.01,0.02
167,0.0,0.6,0.2,0.6,False,167,0.0,0.0,0.0,0.0,Moore,0.01,0.02
168,0.0,0.6,0.2,0.8,True,168,0.0,0.0,0.0,0.0,Moore,0.01,0.02
169,0.0,0.6,0.2,0.8,False,169,0.0,0.0,0.0,0.0,Moore,0.01,0.02
170,0.0,0.6,0.4,0.0,True,170,0.0,0.0,0.0,0.0,Moore,0.01,0.02
171,0.0,0.6,0.4,0.0,False,171,0.0,0.0,0.0,0.0,Moore,0.01,0.02
172,0.0,0.6,0.4,0.2,True,172,0.0,0.0,0.0,0.0,Moore,0.01,0.02
173,0.0,0.6,0.4,0.2,False,173,0.0,0.0,0.0,0.0,Moore,0.01,0.02
174,0.0,0.6,0.4,0.4,True,174,0.0,0.0,0.0,0.0,Moore,0.01,0.02
175,0.0,0.6,0.4,0.4,False,175,0.0,0.0,0.0,0.0,Moore,0.01,0.02
176,0.0,0.6,0.4,0.6,True,176,0.0,0.0,0.0,0.0,Moore,0.01,0.02
177,0.0,0.6,0.4,0.6,False,177,0.0,0.0,0.0,0.0,Moore,0.01,0.02
178,0.0,0.6,0.4,0.8,True,178,0.0,0.0,0.0,0.0,Moore,0.01,0.02
179,0.0,0.6,0.4,0.8,False,179,0.0,0.0,0.0,0.0,Moore,0.01,0.02
180,0.0,0.6,0.6,0.0,True,180,0.0,0.0,0.0,0.0,Moore,0.01,0.02
181,0.0,0.6,0.6,0.0,False,181,0.0,0.0,0.0,0.0,Moore,0.01,0.02
182,0.0,0.6,0.6,0.2,True,182,0.0,0.0,0.0,0.0,Moore,0.01,0.02
183,0.0,0.6,0.6,0.2,False,183,0.0,0.0,0.0,0.0,Moore,0.01,0.02
184,0.0,0.6,0.6,0.4,True,184,0.0,0.0,0.0,0.0,Moore,0.01,0.02
185,0.0,0.6,0.6,0.4,False,185,0.0,0.0,0.0,0.0,Moore,0.01,0.02
186,0.0,0.6,0.6,0.6,True,186,0.0,0.0,0.0,0.0,Moore,0.01,0.02
187,0.0,0.6,0.6,0.6,False,187,0.0,0.0,0.0,0.0,Moore,0.01,0.02
188,0.0,0.6,0.6,0.8,True,188,0.0,0.0,0.0,0.0,Moore,0.01,0.02
189,0.0,0.6,0.6,0.8,False,189,0.0,0.0,0.0,0.0,Moore,0.01,0.02
190,0.0,0.6,0.8,0.0,True,190,0.0,0.0,0.0,0.0,Moore,0.01,0.02
191,0.0,0.6,0.8,0.0,False,191,0.0,0.0,0.0,0.0,Moore,0.01,0.02
192,0.0,0.6,0.8,0.2,True,192,0.0,0.0,0.0,0.0,Moore,0.01,0.02
193,0.0,0.6,0.8,0.2,False,193,0.0,0.0,0.0,0.0,Moore,0.01,0.02
194,0.0,0.6,0.8,0.4,True,194,0.0,0.0,0.0,0.0,Moore,0.01,0.02
195,0.0,0.6,0.8,0.4,False,195,0.0,0.0,0.0,0.0,Moore,0.01,0.02
196,0.0,0.6,0.8,0.6,True,196,0.0,0.0,0.0,0.0,Moore,0.01,0.02
197,0.0,0.6,0.8,0.6,False,197,0.0,0.0,0.0,0.0,Moore,0.01,0.02
198,0.0,0.6,0.8,0.8,True,198,0.0,0.0,0.0,0.0,Moore,0.01,0.02
199,0.0,0.6,0.8,0.8,False,199,0.0,0.0,0.0,0.0,Moore,0.01,0.02
200,0.0,0.8,0.0,0.0,True,200,0.0,0.0,0.0,0.0,Moore,0.01,0.02
201,0.0,0.8,0.0,0.0,False,201,0.0,0.0,0.0,0.0,Moore,0.01,0.02
202,0.0,0.8,0.0,0.2,True,202,0.0,0.0,0.0,0.0,Moore,0.01,0.02
203,0.0,0.8,0.0,0.2,False,203,0.0,0.0,0.0,0.0,Moore,0.01,0.02
204,0.0,0.8,0.0,0.4,True,204,0.0,0.0,0.0,0.0,Moore,0.01,0.02
205,0.0,0.8,0.0,0.4,False,205,0.0,0.0,0.0,0.0,Moore,0.01,0.02
206,0.0,0.8,0.0,0.6,True,206,0.0,0.0,0.0,0.0,Moore,0.01,0.02
207,0.0,0.8,0.0,0.6,False,207,0.0,0.0,0.0,0.0,Moore,0.01,0.02
208,0.0,0.8,0.0,0.8,True,208,0.0,0.0,0.0,0.0,Moore,0.01,0.02
209,0.0,0.8,0.0,0.8,False,209,0.0,0.0,0.0,0.0,Moore,0.01,0.02
210,0.0,0.8,0.2,0.0,True,210,0.0,0.0,0.0,0.0,Moore,0.01,0.02
211,0.0,0.8,0.2,0.0,False,211,0.0,0.0,0.0,0.0,Moore,0.01,0.02
212,0.0,0.8,0.2,0.2,True,212,0.0,0.0,0.0,0.0,Moore,0.01,0.02
213,0.0,0.8,0.2,0.2,False,213,0.0,0.0,0.0,0.0,Moore,0.01,0.02
214,0.0,0.8,0.2,0.4,True,214,0.0,0.0,0.0,0.0,Moore,0.01,0.02
215,0.0,0.8,0.2,0.4,False,215,0.0,0.0,0.0,0.0,Moore,0.01,0.02
216,0.0,0.8,0.2,0.6,True,216,0.0,0.0,0.0,0.0,Moore,0.01,0.02
217,0.0,0.8,0.2,0.6,False,217,0.0,0.0,0.0,0.0,Moore,0.01,0.02
218,0.0,0.8,0.2,0.8,True,218,0.0,0.0,0.0,0.0,Moore,0.01,0.02
219,0.0,0.8,0.2,0.8,False,219,0.0,0.0,0.0,0.0,Moore,0.01,0.02
220,0.0,0.8,0.4,0.0,True,220,0.0,0.0,0.0,0.0,Moore,0.01,0.02
221,0.0,0.8,0.4,0.0,False,221,0.0,0.0,0.0,0.0,Moore,0.01,0.02
222,0.0,0.8,0.4,0.2,True,222,0.0,0.0,0.0,0.0,Moore,0.01,0.02
223,0.0,0.8,0.4,0.2,False,223,0.0,0.0,0.0,0.0,Moore,0.01,0.02
224,0.0,0.8,0.4,0.4,True,224,0.0,0.0,0.0,0.0,Moore,0.01,0.02
225,0.0,0.8,0.4,0.4,False,225,0.0,0.0,0.0,0.0,Moore,0.01,0.02
226,0.0,0.8,0.4,0.6,True,226,0.0,0.0,0.0,0.0,Moore,0.01,0.02
227,0.0,0.8,0.4,0.6,False,227,0.0,0.0,0.0,0.0,Moore,0.01,0.02
228,0.0,0.8,0.4,0.8,True,228,0.0,0.0,0.0,0.0,Moore,0.01,0.02
229,0.0,0.8,0.4,0.8,False,229,0.0,0.0,0.0,0.0,Moore,0.01,0.02
230,0.0,0.8,0.6,0.0,True,230,0.0,0.0,0.0,0.0,Moore,0.01,0.02
231,0.0,0.8,0.6,0.0,False,231,0.0,0.0,0.0,0.0,Moore,0.01,0.02
232,0.0,0.8,0.6,0.2,True,232,0.0,0.0,0.0,0.0,Moore,0.01,0.02
233,0.0,0.8,0.6,0.2,False,233,0.0,0.0,0.0,0.0,Moore,0.01,0.02
234,0.0,0.8,0.6,0.4,True,234,0.0,0.0,0.0,0.0,Moore,0.01,0.02
235,0.0,0.8,0.6,0.4,False,235,0.0,0.0,0.0,0.0,Moore,0.01,0.02
236,0.0,0.8,0.6,0.6,True,236,0.0,0.0,0.0,0.0,Moore,0.01,0.02
237,0.0,0.8,0.6,0.6,False,237,0.0,0.0,0.0,0.0,Moore,0.01,0.02
238,0.0,0.8,0.6,0.8,True,238,0.0,0.0,0.0,0.0,Moore,0.01,0.02
239,0.0,0.8,0.6,0.8,False,239,0.0,0.0,0.0,0.0,Moore,0.01,0.02
240,0.0,0.8,0.8,0.0,True,240,0.0,0.0,0.0,0.0,Moore,0.01,0.02
241,0.0,0.8,0.8,0.0,False,241,0.0,0.0,0.0,0.0,Moore,0.01,0.02
242,0.0,0.8,0.8,0.2,True,242,0.0,0.0,0.0,0.0,Moore,0.01,0.02
243,0.0,0.8,0.8,0.2,False,243,0.0,0.0,0.0,0.0,Moore,0.01,0.02
244,0.0,0.8,0.8,0.4,True,244,0.0,0.0,0.0,0.0,Moore,0.01,0.02
245,0.0,0.8,0.8,0.4,False,245,0.0,0.0,0.0,0.0,Moore,0.01,0.02
246,0.0,0.8,0.8,0.6,True,246,0.0,0.0,0.0,0.0,Moore,0.01,0.02
247,0.0,0.8,0.8,0.6,False,247,0.0,0.0,0.0,0.0,Moore,0.01,0.02
248,0.0,0.8,0.8,0.8,True,248,0.0,0.0,0.0,0.0,Moore,0.01,0.02
249,0.0,0.8,0.8,0.8,False,249,0.0,0.0,0.0,0.0,Moore,0.01,0.02
250,0.2,0.0,0.0,0.0,True,250,0.1268,0.0719,0.0,0.1268,Moore,0.01,0.02
251,0.2,0.0,0.0,0.0,False,251,0.1324,0.0719,0.0,0.1324,Moore,0.01,0.02
252,0.2,0.0,0.0,0.2,True,252,0.1231,0.0792,0.0792,0.1231,Moore,0.01,0.02
253,0.2,0.0,0.0,0.2,False,253,0.1253,0.0751,0.0751,0.1253,Moore,0.01,0.02
254,0.2,0.0,0.0,0.4,True,254,0.1247,0.0799,0.0799,0.1247,Moore,0.01,0.02
255,0.2,0.0,0.0,0.4,False,255,0.1237,0.0766,0.0766,0.1237,Moore,0.01,0.02
256,0.2,0.0,0.0,0.6,True,256,0.1242,0.076,0.076,0.1242,Moore,0.01,0.02
257,0.2,0.0,0.0,0.6,False,257,0.1309,0.0746,0.0746,0.1309,Moore,0.01,0.02
258,0.2,0.0,0.0,0.8,True,258,0.1209,0.0729,0.0729,0.1209,Moore,0.01,0.02
259,0.2,0.0,0.0,0.8,False,259,0.1172,0.0779,0.0779,0.1172,Moore,0.01,0.02
260,0.2,0.0,0.2,0.0,True,260,0.0158,0.0001,0.0,0.1907,Moore,0.01,0.02
261,0.2,0.0,0.2,0.0,False,261,0.0156,0.0,0.0,0.1977,Moore,0.01,0.02
262,0.2,0.0,0.2,0.2,True,262,0.0161,0.0,0.0,0.2017,Moore,0.01,0.02
263,0.2,0.0,0.2,0.2,False,263,0.0143,0.0,0.0,0.2027,Moore,0.01,0.02
264,0.2,0.0,0.2,0.4,True,264,0.0146,0.0,0.0,0.2019,Moore,0.01,0.02
265,0.2,0.0,0.2,0.4,False,265,0.0155,0.0,0.0,0.1963,Moore,0.01,0.02
266,0.2,0.0,0.2,0.6,True,266,0.0156,0.0,0.0,0.1997,Moore,0.01,0.02
267,0.2,0.0,0.2,0.6,False,267,0.0161,0.0,0.0,0.2054,Moore,0.01,0.02
268,0.2,0.0,0.2,0.8,True,268,0.0158,0.0,0.0,0.2011,Moore,0.01,0.02
269,0.2,0.0,0.2,0.8,False,269,0.0146,0.0,0.0,0.1994,Moore,0.01,0.02
270,0.2,0.0,0.4,0.0,True,270,0.0056,0.0,0.0,0.1973,Moore,0.01,0.02
271,0.2,0.0,0.4,0.0,False,271,0.0059,0.0,0.0,0.2043,Moore,0.01,0.02
